Base: v2010123/org.ncpdp.uml.functions/NCPDP.emx

Left Changes: org.ncpdp.uml.functions/NCPDP.emx

Unresolved |     Modify change
Unresolved |         Modify <<documentation>>"Unique identifier as..."<Comment>.body : String from "Unique identifier assigned ..." to "Unique identifier assigned ..."
Unresolved |         Modify <<documentation>>"Designated Pharmacis..."<Comment>.body : String from "Designated Pharmacisy for t..." to "Designated Pharmacist for t..."
Unresolved |         Modify <<documentation>>"Designated Pharmacis..."<Comment>.body : String from "Designated Pharmacisy for t..." to "Designated Pharmacist for t..."
Unresolved |         Modify HistoryPresciberOrderNumber<Property>.name : String from "HistoryPresciberOrderNumber" to "HistoryPrescriberOrderNumber"
Unresolved |         Modify ReasonForSubsitutionCodeUsed<Property>.name : String from "ReasonForSubsitutionCodeUsed" to "ReasonForSubstitutionCodeUsed"
Unresolved |         Modify MandatoryPresciber<Class>.name : String from "MandatoryPresciber" to "MandatoryPrescriber"
Unresolved |         Modify OptionalPresciber<Class>.name : String from "OptionalPresciber" to "OptionalPrescriber"
Unresolved |         Modify HistoryPresciberOrderNumber<Property>.name : String from "HistoryPresciberOrderNumber" to "HistoryPrescriberOrderNumber"
Unresolved |         Modify ReasonForSubsitutionCodeUsed<Property>.name : String from "ReasonForSubsitutionCodeUsed" to "ReasonForSubstitutionCodeUsed"
Unresolved |         Modify HistoryPresciberOrderNumber<Property>.name : String from "HistoryPresciberOrderNumber" to "HistoryPrescriberOrderNumber"
Unresolved |         Modify ReasonForSubsitutionCodeUsed<Property>.name : String from "ReasonForSubsitutionCodeUsed" to "ReasonForSubstitutionCodeUsed"
Unresolved |         Modify HistoryPresciberOrderNumber<Property>.name : String from "HistoryPresciberOrderNumber" to "HistoryPrescriberOrderNumber"
Unresolved |         Modify ReasonForSubsitutionCodeUsed<Property>.name : String from "ReasonForSubsitutionCodeUsed" to "ReasonForSubstitutionCodeUsed"
Unresolved |         Modify <<Medication>>HistoryPrescibedMedication<Class>.name : String from "HistoryPrescibedMedication" to "HistoryPrescribedMedication"
Unresolved |         Modify HistoryPresciberOrderNumber<Property>.name : String from "HistoryPresciberOrderNumber" to "HistoryPrescriberOrderNumber"
Unresolved |         Modify ReasonForSubsitutionCodeUsed<Property>.name : String from "ReasonForSubsitutionCodeUsed" to "ReasonForSubstitutionCodeUsed"
Unresolved |         Modify <<Medication>>NewRxPrescibedMedication<Class>.name : String from "NewRxPrescibedMedication" to "NewRxPrescribedMedication"
Unresolved |         Modify HistoryPresciberOrderNumber<Property>.name : String from "HistoryPresciberOrderNumber" to "HistoryPrescriberOrderNumber"
Unresolved |         Modify ReasonForSubsitutionCodeUsed<Property>.name : String from "ReasonForSubsitutionCodeUsed" to "ReasonForSubstitutionCodeUsed"
Unresolved |         Modify HistoryPresciberOrderNumber<Property>.name : String from "HistoryPresciberOrderNumber" to "HistoryPrescriberOrderNumber"
Unresolved |         Modify ReasonForSubsitutionCodeUsed<Property>.name : String from "ReasonForSubsitutionCodeUsed" to "ReasonForSubstitutionCodeUsed"
Unresolved |         Modify HistoryPresciberOrderNumber<Property>.name : String from "HistoryPresciberOrderNumber" to "HistoryPrescriberOrderNumber"
Unresolved |         Modify ReasonForSubsitutionCodeUsed<Property>.name : String from "ReasonForSubsitutionCodeUsed" to "ReasonForSubstitutionCodeUsed"
Unresolved |         Modify HistoryPresciberOrderNumber<Property>.name : String from "HistoryPresciberOrderNumber" to "HistoryPrescriberOrderNumber"
Unresolved |         Modify HistoryPresciberOrderNumber<Property>.name : String from "HistoryPresciberOrderNumber" to "HistoryPrescriberOrderNumber"
Unresolved |         Modify ReasonForSubsitutionCodeUsed<Property>.name : String from "ReasonForSubsitutionCodeUsed" to "ReasonForSubstitutionCodeUsed"
Unresolved |         Modify HistoryPresciberOrderNumber<Property>.name : String from "HistoryPresciberOrderNumber" to "HistoryPrescriberOrderNumber"
